
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002059                       # Number of seconds simulated (Second)
simTicks                                   2059371500                       # Number of ticks simulated (Tick)
finalTick                                  2059371500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     24.23                       # Real time elapsed on the host (Second)
hostTickRate                                 85009406                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     922752                       # Number of bytes of host memory used (Byte)
simInsts                                      6436803                       # Number of instructions simulated (Count)
simOps                                       10693060                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   265706                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     441400                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          4118744                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10998114                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      133                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10907909                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    625                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               305088                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            540313                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 109                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3912678                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.787837                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.032306                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    804216     20.55%     20.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    275074      7.03%     27.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    669348     17.11%     44.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    727969     18.61%     63.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    661236     16.90%     80.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    419793     10.73%     90.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    189299      4.84%     95.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     95415      2.44%     98.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     70328      1.80%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3912678                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
