
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002104                       # Number of seconds simulated (Second)
simTicks                                   2104109000                       # Number of ticks simulated (Tick)
finalTick                                  2104109000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     23.80                       # Real time elapsed on the host (Second)
hostTickRate                                 88410607                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     924564                       # Number of bytes of host memory used (Byte)
simInsts                                      6436803                       # Number of instructions simulated (Count)
simOps                                       10693060                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   270461                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     449300                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          4208219                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10886256                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      140                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10832197                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    202                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               193295                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            322453                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 116                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3997392                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.709816                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.165188                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    916633     22.93%     22.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    358621      8.97%     31.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    634042     15.86%     47.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    745067     18.64%     66.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    526101     13.16%     79.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    434474     10.87%     90.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    113996      2.85%     93.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    138123      3.46%     96.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    130335      3.26%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3997392                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
